category,company,company_site,employment_type,industry,job_category,location,office_address,title,vacancy
Automotive,"DAIKI OM ALUMINIUM INDUSTRY (PHILIPPINES), INC.",,Full-Time,Automotive,NON-IT,Phase 3 Rosario 4106 Cavite Philippines,Phase 3 Rosario 4106 Cavite Philippines,Warehouse Operator,1
Electrical and Electronic Manufacturing,NEWLIX MFG. INC.,,Full-Time,Electrical and Electronic Manufacturing,IT,"P. IMES Site 1 Block 16, Phase 4 Rosario 4106 Cavite Philippines","P. IMES Site 1 Block 16, Phase 4 Rosario 4106 Cavite Philippines",PROCESS ENGINEER,1
Telecommunications,Bellsoft Global,,Full-Time,Telecommunications,NON-IT,Greenhills Ortigas 1605 Mandaluyong Philippines,Greenhills Ortigas 1605 Mandaluyong Philippines,No BPO Experience Required - Travel Account Agent,45
Telecommunications,Bellsoft Global,,Full-Time,Telecommunications,NON-IT,Greenhills Ortigas 1605 Mandaluyong Philippines,Greenhills Ortigas 1605 Mandaluyong Philippines,Hotel Accommodation Associate - Customer Support - Newbie Friendly,34
Telecommunications,Bellsoft Global,,Full-Time,Telecommunications,NON-IT,Greenhills Ortigas 1502 Mandaluyong Philippines,Greenhills Ortigas 1502 Mandaluyong Philippines,Chat Support Agent - Flight Booking Account Specialist,45
Construction,ZabCo Tile Depot,,Full-Time,Construction,NON-IT,Tirona Hwy Bacoor 4102 Cavite Philippines,Tirona Hwy Bacoor 4102 Cavite Philippines,Field Sales Representative,1
Telecommunications,J-K Network Services,,Full-Time,Telecommunications,NON-IT,Eastwood Ave Quezon City 1800 NCR Philippines,Eastwood Ave Quezon City 1800 NCR Philippines,Spanish Technical Support,
Marketing and Advertising,"Dempsey Resource Management, Inc.",,Full-Time,Marketing and Advertising,NON-IT,"31 Visayas Avenue, Corner Rd 1, Project 6, Quezon City, 1100 Metro Manila Quezon City 1128 Philippines Philippines","31 Visayas Avenue, Corner Rd 1, Project 6, Quezon City, 1100 Metro Manila Quezon City 1128 Philippines Philippines",Sales Executive - 2yrs Experience,1
Semiconductors,TeamQuest Technology Inc.,,Full-Time,Semiconductors,NON-IT,Langkaan Rd Dasmariñas 4114 Cavite Philippines,Langkaan Rd Dasmariñas 4114 Cavite Philippines,Aircon Technician,1
Computer Software,Bai Finance Group of Companies,,Internship,Computer Software,IT,"One Rosal Place, J.Solon Dr., Cebu City 6000 Cebu Philippines","One Rosal Place, J.Solon Dr., Cebu City 6000 Cebu Philippines",Full Stack Web Developer - IT Intern,
Nanotechnology,"Finetex Technology Phil., Corp",,Full-Time,Nanotechnology,NON-IT,Blk 8 Lot 5 Phase 1 CEZ Rosario 4106 Cavite Philippines,Blk 8 Lot 5 Phase 1 CEZ Rosario 4106 Cavite Philippines,QC Inspector,10
Electrical and Electronic Manufacturing,VAST LIGHTING CORP.,,Full-Time,Electrical and Electronic Manufacturing,NON-IT,"Lot 4 Blk 1 Daiichi Industrial Park, Maguyam Rd Maguyam Silang 4118 Cavite Philippines","Lot 4 Blk 1 Daiichi Industrial Park, Maguyam Rd Maguyam Silang 4118 Cavite Philippines",INJECTION TECHNICIAN,1
Electrical and Electronic Manufacturing,Hayakawa Electronics (Phils.) Corp.,,Full-Time,Electrical and Electronic Manufacturing,IT,CEZ Drive Rosario 4122 Cavite Philippines,CEZ Drive Rosario 4122 Cavite Philippines,IQC ENGINEER,1
Shipbuilding,NAKASHIMA PHILIPPINES CORPORATION,,Full-Time,Shipbuilding,NON-IT,"2nd Street, North Drive, CEZ Rosario 4106 Cavite Philippines","2nd Street, North Drive, CEZ Rosario 4106 Cavite Philippines",PRODUCTION WORKER,
Shipbuilding,NAKASHIMA PHILIPPINES CORPORATION,,Full-Time,Shipbuilding,NON-IT,"2nd Street, North Drive, CEZ Rosario 4106 Cavite Philippines","2nd Street, North Drive, CEZ Rosario 4106 Cavite Philippines",AIRCON MAINTENANCE,1
Hospitality,Dragon Home Inn,,Full-Time,Hospitality,NON-IT,General Echavez St Cebu City 6000 Central Visayas Philippines,General Echavez St Cebu City 6000 Central Visayas Philippines,Hotel Front Desk,2
Machinery,Equipsur Corporation,,Full-Time,Machinery,NON-IT,Carmelray Industrial Park 2 Calamba 4027 Laguna 4A,Carmelray Industrial Park 2 Calamba 4027 Laguna 4A,Service Technician,5
Industrial Automation,ARCHEM PHILIPPINES INC.,,Full-Time,Industrial Automation,NON-IT,"LOT 1 BLOCK 7A PHASE 2, CEZ ROSARIO, CAVITE 4106 CAVITE Philippines","LOT 1 BLOCK 7A PHASE 2, CEZ ROSARIO, CAVITE 4106 CAVITE Philippines",Accounting Staff,1
Electrical and Electronic Manufacturing,VAST LIGHTING CORP.,,Full-Time,Electrical and Electronic Manufacturing,NON-IT,"Lot 4 Blk 1 Daiichi Industrial Park, Maguyam Rd Maguyam Silang 4118 Cavite Philippines","Lot 4 Blk 1 Daiichi Industrial Park, Maguyam Rd Maguyam Silang 4118 Cavite Philippines",ASSISTANT PRODUCTION SUPERVISOR,
Electrical and Electronic Manufacturing,VAST LIGHTING CORP.,,Full-Time,Electrical and Electronic Manufacturing,NON-IT,"Lot 4 Blk 1 Daiichi Industrial Park, Maguyam Rd Maguyam Silang 4118 Cavite Philippines","Lot 4 Blk 1 Daiichi Industrial Park, Maguyam Rd Maguyam Silang 4118 Cavite Philippines",QA QC ASSISTANT SUPERVISOR,1
